"","state","category","acreage","year"
"137","alabama","Barley",12.454064,2008
"138","alabama","Durum Wheat",0,2008
"139","alabama","Spring Wheat",0,2008
"140","alabama","Winter Wheat",29375.133884,2008
"141","alabama","Other Small Grains",0,2008
"142","alabama","Dbl Crop WinWht/Soybeans",150311.211932,2008
"143","alabama","Rye",7102.374784,2008
"144","alabama","Oats",11937.665132,2008
"145","alabama","Millet",8600.643162,2008
"146","alabama","Speltz",0,2008
"147","alabama","Canola",195.484326,2008
"148","alabama","Flaxseed",0,2008
"149","alabama","Safflower",0,2008
"150","alabama","Rape Seed",0,2008
"151","alabama","Mustard",0,2008
"152","alabama","Alfalfa",12.009276,2008
"153","alabama","Other Hay/Non Alfalfa",947574.798442,2008
"154","alabama","Camelina",0,2008
"155","alabama","Buckwheat",0,2008
"156","alabama","Sugarbeets",0,2008
"157","alabama","Dry Beans",0,2008
"158","alabama","Potatoes",34.026282,2008
"159","alabama","Other Crops",455.9077,2008
"160","alabama","Sugarcane",0,2008
"161","alabama","Sweet Potatoes",1102.851846,2008
"162","alabama","Misc Vegs & Fruits",3.33591,2008
"163","alabama","Watermelons",1161.786256,2008
"164","alabama","Onions",0,2008
"165","alabama","Cucumbers",0,2008
"166","alabama","Chick Peas",0,2008
"167","alabama","Lentils",0,2008
"168","alabama","Peas",111.864182,2008
"169","alabama","Tomatoes",0,2008
"170","alabama","Caneberries",0,2008
"171","alabama","Hops",0,2008
"172","alabama","Herbs",0,2008
"173","alabama","Clover/Wildflowers",419.435084,2008
"174","alabama","Sod/Grass Seed",34716.370582,2008
"175","alabama","Switchgrass",351.38252,2008
"176","alabama","Fallow/Idle Cropland",423686.14531,2008
"177","alabama","Forest",0,2008
"178","alabama","Cherries",0,2008
"179","alabama","Peaches",24.240946,2008
"180","alabama","Apples",118.313608,2008
"181","alabama","Grapes",0,2008
"182","alabama","Christmas Trees",4.003092,2008
"183","alabama","Other Tree Crops",0,2008
"184","alabama","Citrus",0,2008
"185","alabama","Pecans",9167.08068,2008
"186","alabama","Almonds",0,2008
"187","alabama","Walnuts",0,2008
"188","alabama","Pears",0,2008
"189","alabama","Wetlands",0,2008
"190","alabama","Aquaculture",6586.19831,2008
"191","alabama","Open Water",685208.812852,2008
"192","alabama","Perennial Ice/Snow",0,2008
"193","alabama","Developed/Open Space",1599301.305018,2008
"194","alabama","Developed/Low Intensity",496109.86338,2008
"195","alabama","Developed/Med Intensity",159935.75707,2008
"196","alabama","Developed/High Intensity",54662.443654,2008
"197","alabama","Barren",37399.99898,2008
"198","alabama","Deciduous Forest",9027942.987416,2008
"199","alabama","Evergreen Forest",7315222.52155,2008
"200","alabama","Mixed Forest",1616471.456182,2008
"201","alabama","Shrubland",2543601.35181,2008
"202","alabama","Grassland/Pasture",4644629.525466,2008
"203","alabama","Woody Wetlands",2249847.78903,2008
"204","alabama","Herbaceous Wetlands",49578.072026,2008
"205","alabama","Pistachios",0,2008
"206","alabama","Triticale",87.623236,2008
"207","alabama","Carrots",0,2008
"208","alabama","Asparagus",0,2008
"209","alabama","Garlic",0,2008
"210","alabama","Cantaloupes",0,2008
"211","alabama","Prunes",0,2008
"212","alabama","Olives",0,2008
"213","alabama","Oranges",0,2008
"214","alabama","Honeydew Melons",0,2008
"215","alabama","Broccoli",0,2008
"216","alabama","Peppers",0,2008
"217","alabama","Pomegranates",0,2008
"218","alabama","Nectarines",0,2008
"219","alabama","Greens",867.3366,2008
"220","alabama","Plums",0,2008
"221","alabama","Strawberries",0,2008
"222","alabama","Squash",23.573764,2008
"223","alabama","Apricots",0,2008
"224","alabama","Vetch",0,2008
"225","alabama","Dbl Crop WinWht/Corn",789.943488,2008
"226","alabama","Dbl Crop Oats/Corn",764.145784,2008
"227","alabama","Lettuce",0,2008
"228","alabama","Pumpkins",60.04638,2008
"229","alabama","Dbl Crop Lettuce/Durum Wht",0,2008
"230","alabama","Dbl Crop Lettuce/Cantaloupe",0,2008
"231","alabama","Dbl Crop Lettuce/Cotton",0,2008
"232","alabama","Dbl Crop Lettuce/Barley",0,2008
"233","alabama","Dbl Crop Durum Wht/Sorghum",0,2008
"234","alabama","Dbl Crop Barley/Sorghum",0,2008
"235","alabama","Dbl Crop WinWht/Sorghum",973.863326,2008
"236","alabama","Dbl Crop Barley/Corn",26.242492,2008
"237","alabama","Dbl Crop WinWht/Cotton",3538.510934,2008
"238","alabama","Dbl Crop Soybeans/Cotton",0,2008
"239","alabama","Dbl Crop Soybeans/Oats",2373.611162,2008
"240","alabama","Dbl Crop Corn/Soybeans",0,2008
"241","alabama","Blueberries",11.342094,2008
"242","alabama","Cabbage",0,2008
"243","alabama","Cauliflower",0,2008
"244","alabama","Celery",0,2008
"245","alabama","Radishes",0,2008
"246","alabama","Turnips",0,2008
"247","alabama","Eggplants",0,2008
"248","alabama","Gourds",0,2008
"249","alabama","Cranberries",0,2008
"250","alabama","Dbl Crop Barley/Soybeans",0,2008
"251","arizona","Corn",39017.470542,2008
"252","arizona","Cotton",129971.056692,2008
"253","arizona","Rice",0,2008
"254","arizona","Sorghum",17529.09508,2008
"255","arizona","Soybeans",0,2008
"256","arizona","Sunflower",0,2008
"257","arizona","Peanuts",0,2008
"258","arizona","Tobacco",0,2008
"259","arizona","Sweet Corn",46.925134,2008
"260","arizona","Pop or Orn Corn",0,2008
"261","arizona","Mint",0,2008
"262","arizona","Barley",37438.250748,2008
"263","arizona","Durum Wheat",145696.98122,2008
"264","arizona","Spring Wheat",11119.032818,2008
"265","arizona","Winter Wheat",385.186408,2008
"266","arizona","Other Small Grains",6689.61152,2008
"267","arizona","Dbl Crop WinWht/Soybeans",0,2008
"268","arizona","Rye",255.085918,2008
"269","arizona","Oats",4194.795628,2008
"270","arizona","Millet",54.48653,2008
"271","arizona","Speltz",0,2008
"272","arizona","Canola",60.491168,2008
"273","arizona","Flaxseed",0,2008
"274","arizona","Safflower",0,2008
"275","arizona","Rape Seed",0,2008
"276","arizona","Mustard",0,2008
"277","arizona","Alfalfa",367303.039278,2008
"278","arizona","Other Hay/Non Alfalfa",17937.18807,2008
"279","arizona","Camelina",0,2008
"280","arizona","Buckwheat",0,2008
"281","arizona","Sugarbeets",0,2008
"282","arizona","Dry Beans",2825.960558,2008
"283","arizona","Potatoes",996.992302,2008
"284","arizona","Other Crops",3826.066376,2008
"285","arizona","Sugarcane",0,2008
"286","arizona","Sweet Potatoes",0,2008
"287","arizona","Misc Vegs & Fruits",146.112858,2008
"288","arizona","Watermelons",1740.010656,2008
"289","arizona","Onions",1916.146704,2008
"290","arizona","Cucumbers",0,2008
"291","arizona","Chick Peas",0,2008
"292","arizona","Lentils",0,2008
"293","arizona","Peas",0,2008
"294","arizona","Tomatoes",2.22394,2008
"295","arizona","Caneberries",0,2008
"296","arizona","Hops",0,2008
"297","arizona","Herbs",32.691918,2008
"298","arizona","Clover/Wildflowers",59.823986,2008
"299","arizona","Sod/Grass Seed",9223.568756,2008
"300","arizona","Switchgrass",0,2008
"301","arizona","Fallow/Idle Cropland",619317.25135,2008
"302","arizona","Forest",0,2008
"303","arizona","Cherries",7.116608,2008
"304","arizona","Peaches",0,2008
"305","arizona","Apples",461.245156,2008
"306","arizona","Grapes",28.91122,2008
"307","arizona","Christmas Trees",0,2008
"308","arizona","Other Tree Crops",4803.932794,2008
"309","arizona","Citrus",2037.12904,2008
"310","arizona","Pecans",6844.17535,2008
"311","arizona","Almonds",0,2008
"312","arizona","Walnuts",0,2008
"313","arizona","Pears",0,2008
"314","arizona","Wetlands",0,2008
"315","arizona","Aquaculture",0,2008
"316","arizona","Open Water",146023.010824,2008
"317","arizona","Perennial Ice/Snow",0,2008
"318","arizona","Developed/Open Space",713561.823912,2008
"319","arizona","Developed/Low Intensity",531224.76401,2008
"320","arizona","Developed/Med Intensity",289316.580086,2008
"321","arizona","Developed/High Intensity",50210.115774,2008
"322","arizona","Barren",1415487.104168,2008
"323","arizona","Deciduous Forest",18396.654074,2008
"324","arizona","Evergreen Forest",11054580.81286,2008
"325","arizona","Mixed Forest",8648.013084,2008
"326","arizona","Shrubland",54277136.708452,2008
"327","arizona","Grassland/Pasture",2748081.959898,2008
"328","arizona","Woody Wetlands",199137.592238,2008
"329","arizona","Herbaceous Wetlands",17879.810418,2008
"330","arizona","Pistachios",1135.766158,2008
"331","arizona","Triticale",1376.174072,2008
"332","arizona","Carrots",304.67978,2008
"333","arizona","Asparagus",0,2008
"334","arizona","Garlic",405.424262,2008
"335","arizona","Cantaloupes",10403.368926,2008
"336","arizona","Prunes",0,2008
"337","arizona","Olives",1759.581328,2008
"338","arizona","Oranges",11925.211068,2008
"339","arizona","Honeydew Melons",1238.956974,2008
"340","arizona","Broccoli",1562.985032,2008
"341","arizona","Peppers",1977.305054,2008
"342","arizona","Pomegranates",0,2008
"343","arizona","Nectarines",0,2008
"344","arizona","Greens",1116.862668,2008
"345","arizona","Plums",0,2008
"346","arizona","Strawberries",0,2008
"347","arizona","Squash",8.006184,2008
"348","arizona","Apricots",0,2008
"349","arizona","Vetch",0,2008
"350","arizona","Dbl Crop WinWht/Corn",0,2008
"351","arizona","Dbl Crop Oats/Corn",2536.625964,2008
"352","arizona","Lettuce",4227.265152,2008
"353","arizona","Pumpkins",0,2008
"354","arizona","Dbl Crop Lettuce/Durum Wht",117.201638,2008
"355","arizona","Dbl Crop Lettuce/Cantaloupe",4482.128676,2008
"356","arizona","Dbl Crop Lettuce/Cotton",9250.033642,2008
"357","arizona","Dbl Crop Lettuce/Barley",0,2008
"358","arizona","Dbl Crop Durum Wht/Sorghum",181.695898,2008
"359","arizona","Dbl Crop Barley/Sorghum",0,2008
"360","arizona","Dbl Crop WinWht/Sorghum",0,2008
"361","arizona","Dbl Crop Barley/Corn",1841.199926,2008
"362","arizona","Dbl Crop WinWht/Cotton",0,2008
"363","arizona","Dbl Crop Soybeans/Cotton",0,2008
"364","arizona","Dbl Crop Soybeans/Oats",0,2008
"365","arizona","Dbl Crop Corn/Soybeans",0,2008
"366","arizona","Blueberries",0,2008
"367","arizona","Cabbage",1169.125258,2008
"368","arizona","Cauliflower",334.480576,2008
"369","arizona","Celery",0,2008
"370","arizona","Radishes",66.495806,2008
"371","arizona","Turnips",0,2008
"372","arizona","Eggplants",0,2008
"373","arizona","Gourds",15.345186,2008
"374","arizona","Cranberries",0,2008
"375","arizona","Dbl Crop Barley/Soybeans",0,2008
"376","arkansas","Corn",406267.13526,2008
"377","arkansas","Cotton",538692.087348,2008
"378","arkansas","Rice",1367512.270488,2008
"379","arkansas","Sorghum",76699.687508,2008
"380","arkansas","Soybeans",3035587.808036,2008
"381","arkansas","Sunflower",322.248906,2008
"382","arkansas","Peanuts",15.789974,2008
"383","arkansas","Tobacco",0,2008
"384","arkansas","Sweet Corn",185.921384,2008
"385","arkansas","Pop or Orn Corn",4.892668,2008
"386","arkansas","Mint",0,2008
"387","arkansas","Barley",19.348278,2008
"388","arkansas","Durum Wheat",0,2008
"389","arkansas","Spring Wheat",0,2008
"390","arkansas","Winter Wheat",189591.552182,2008
"391","arkansas","Other Small Grains",0,2008
"392","arkansas","Dbl Crop WinWht/Soybeans",735395.79965,2008
"393","arkansas","Rye",34.47107,2008
"394","arkansas","Oats",873.563632,2008
"395","arkansas","Millet",8.89576,2008
"396","arkansas","Speltz",0,2008
"397","arkansas","Canola",31.579948,2008
"398","arkansas","Flaxseed",0,2008
"399","arkansas","Safflower",4.225486,2008
"400","arkansas","Rape Seed",0,2008
"401","arkansas","Mustard",0,2008
"402","arkansas","Alfalfa",278.659682,2008
"403","arkansas","Other Hay/Non Alfalfa",145213.496664,2008
"404","arkansas","Camelina",0,2008
"405","arkansas","Buckwheat",0,2008
"406","arkansas","Sugarbeets",0,2008
"407","arkansas","Dry Beans",635.379658,2008
"408","arkansas","Potatoes",0,2008
"409","arkansas","Other Crops",529.520114,2008
"410","arkansas","Sugarcane",0,2008
"411","arkansas","Sweet Potatoes",1363.27522,2008
"412","arkansas","Misc Vegs & Fruits",0,2008
"413","arkansas","Watermelons",344.043518,2008
"414","arkansas","Onions",0,2008
"415","arkansas","Cucumbers",0,2008
"416","arkansas","Chick Peas",0,2008
"417","arkansas","Lentils",0,2008
"418","arkansas","Peas",1217.60715,2008
"419","arkansas","Tomatoes",182.585474,2008
"420","arkansas","Caneberries",0,2008
"421","arkansas","Hops",0,2008
"422","arkansas","Herbs",0,2008
"423","arkansas","Clover/Wildflowers",0,2008
"424","arkansas","Sod/Grass Seed",5559.405212,2008
"425","arkansas","Switchgrass",0,2008
"426","arkansas","Fallow/Idle Cropland",478631.251738,2008
"427","arkansas","Forest",0,2008
"428","arkansas","Cherries",0,2008
"429","arkansas","Peaches",42.25486,2008
"430","arkansas","Apples",0,2008
"431","arkansas","Grapes",8.450972,2008
"432","arkansas","Christmas Trees",0,2008
"433","arkansas","Other Tree Crops",0,2008
"434","arkansas","Citrus",0,2008
"435","arkansas","Pecans",2688.298672,2008
"436","arkansas","Almonds",0,2008
"437","arkansas","Walnuts",0,2008
"438","arkansas","Pears",0,2008
"439","arkansas","Wetlands",0,2008
"440","arkansas","Aquaculture",21339.371482,2008
"441","arkansas","Open Water",750176.994466,2008
"442","arkansas","Perennial Ice/Snow",0,2008
"443","arkansas","Developed/Open Space",1247179.102574,2008
"444","arkansas","Developed/Low Intensity",524355.458138,2008
"445","arkansas","Developed/Med Intensity",109201.681032,2008
"446","arkansas","Developed/High Intensity",40809.076606,2008
"447","arkansas","Barren",24059.027708,2008
"448","arkansas","Deciduous Forest",8817026.741756,2008
"449","arkansas","Evergreen Forest",6351982.067354,2008
"450","arkansas","Mixed Forest",745104.187326,2008
"451","arkansas","Shrubland",489002.595928,2008
"452","arkansas","Grassland/Pasture",4851279.36463,2008
"453","arkansas","Woody Wetlands",3052852.47665,2008
"454","arkansas","Herbaceous Wetlands",15728.81565,2008
"455","arkansas","Pistachios",0,2008
"456","arkansas","Triticale",0,2008
"457","arkansas","Carrots",54.708924,2008
"458","arkansas","Asparagus",50.483438,2008
"459","arkansas","Garlic",0,2008
"460","arkansas","Cantaloupes",0,2008
"461","arkansas","Prunes",0,2008
"462","arkansas","Olives",0,2008
"463","arkansas","Oranges",0,2008
"464","arkansas","Honeydew Melons",0,2008
"465","arkansas","Broccoli",79.617052,2008
"466","arkansas","Peppers",41.587678,2008
"467","arkansas","Pomegranates",0,2008
"468","arkansas","Nectarines",0,2008
"469","arkansas","Greens",48.259498,2008
"470","arkansas","Plums",0,2008
"471","arkansas","Strawberries",0,2008
"472","arkansas","Squash",91.18154,2008
"473","arkansas","Apricots",0,2008
"474","arkansas","Vetch",0,2008
"475","arkansas","Dbl Crop WinWht/Corn",1585.446826,2008
"476","arkansas","Dbl Crop Oats/Corn",0,2008
"477","arkansas","Lettuce",0,2008
"478","arkansas","Pumpkins",69.609322,2008
"479","arkansas","Dbl Crop Lettuce/Durum Wht",0,2008
"480","arkansas","Dbl Crop Lettuce/Cantaloupe",0,2008
"481","arkansas","Dbl Crop Lettuce/Cotton",0,2008
"482","arkansas","Dbl Crop Lettuce/Barley",0,2008
"483","arkansas","Dbl Crop Durum Wht/Sorghum",0,2008
"484","arkansas","Dbl Crop Barley/Sorghum",0,2008
"485","arkansas","Dbl Crop WinWht/Sorghum",2310.228872,2008
"486","arkansas","Dbl Crop Barley/Corn",0,2008
"487","arkansas","Dbl Crop WinWht/Cotton",1049.477286,2008
"488","arkansas","Dbl Crop Soybeans/Cotton",0,2008
"489","arkansas","Dbl Crop Soybeans/Oats",1652.832208,2008
"490","arkansas","Dbl Crop Corn/Soybeans",0,2008
"491","arkansas","Blueberries",76.058748,2008
"492","arkansas","Cabbage",75.169172,2008
"493","arkansas","Cauliflower",0,2008
"494","arkansas","Celery",0,2008
"495","arkansas","Radishes",0,2008
"496","arkansas","Turnips",0,2008
"497","arkansas","Eggplants",19.570672,2008
"498","arkansas","Gourds",0,2008
"499","arkansas","Cranberries",0,2008
"500","arkansas","Dbl Crop Barley/Soybeans",0,2008
"501","california","Corn",258612.642052,2008
"502","california","Cotton",282983.688542,2008
"503","california","Rice",548079.560482,2008
"504","california","Sorghum",4310.885296,2008
"505","california","Soybeans",0,2008
"506","california","Sunflower",13466.179094,2008
"507","california","Peanuts",0,2008
"508","california","Tobacco",0,2008
"509","california","Sweet Corn",9199.550204,2008
"510","california","Pop or Orn Corn",127.209368,2008
"511","california","Mint",4739.21614,2008
"512","california","Barley",80217.293406,2008
"513","california","Durum Wheat",171115.725844,2008
"514","california","Spring Wheat",18838.99574,2008
"515","california","Winter Wheat",611848.14886,2008
"516","california","Other Small Grains",11582.946702,2008
"517","california","Dbl Crop WinWht/Soybeans",0,2008
"518","california","Rye",10523.016898,2008
"519","california","Oats",178125.139936,2008
"520","california","Millet",0,2008
"521","california","Speltz",0,2008
"522","california","Canola",0,2008
"523","california","Flaxseed",0,2008
"524","california","Safflower",136674.011852,2008
"525","california","Rape Seed",0,2008
"526","california","Mustard",0,2008
"527","california","Alfalfa",1292387.799682,2008
"528","california","Other Hay/Non Alfalfa",404769.756458,2008
"529","california","Camelina",0,2008
"530","california","Buckwheat",0,2008
"531","california","Sugarbeets",8691.379914,2008
"532","california","Dry Beans",16007.475332,2008
"533","california","Potatoes",2754.34969,2008
"534","california","Other Crops",22372.8364,2008
"535","california","Sugarcane",82.28578,2008
"536","california","Sweet Potatoes",8139.175612,2008
"537","california","Misc Vegs & Fruits",6201.011902,2008
"538","california","Watermelons",10518.12423,2008
"539","california","Onions",42051.591884,2008
"540","california","Cucumbers",4092.716782,2008
"541","california","Chick Peas",0,2008
"542","california","Lentils",0,2008
"543","california","Peas",3161.775498,2008
"544","california","Tomatoes",226736.465244,2008
"545","california","Caneberries",0,2008
"546","california","Hops",0,2008
"547","california","Herbs",4164.32765,2008
"548","california","Clover/Wildflowers",60048.826334,2008
"549","california","Sod/Grass Seed",6866.637144,2008
"550","california","Switchgrass",0,2008
"551","california","Fallow/Idle Cropland",1265229.044402,2008
"552","california","Forest",0,2008
"553","california","Cherries",34436.154142,2008
"554","california","Peaches",19715.450494,2008
"555","california","Apples",5478.453796,2008
"556","california","Grapes",786677.63211,2008
"557","california","Christmas Trees",0,2008
"558","california","Other Tree Crops",26048.119644,2008
"559","california","Citrus",11252.691612,2008
"560","california","Pecans",599.35183,2008
"561","california","Almonds",996515.934052,2008
"562","california","Walnuts",306001.022754,2008
"563","california","Pears",6486.788192,2008
"564","california","Wetlands",0,2008
"565","california","Aquaculture",2295.773262,2008
"566","california","Open Water",1261255.975592,2008
"567","california","Perennial Ice/Snow",7045.886708,2008
"568","california","Developed/Open Space",3081616.027034,2008
"569","california","Developed/Low Intensity",1572372.949922,2008
"570","california","Developed/Med Intensity",1709482.186832,2008
"571","california","Developed/High Intensity",410703.228378,2008
"572","california","Barren",4446851.872538,2008
"573","california","Deciduous Forest",533633.29103,2008
"574","california","Evergreen Forest",21767426.779834,2008
"575","california","Mixed Forest",1974678.358466,2008
"576","california","Shrubland",40690714.07132,2008
"577","california","Grassland/Pasture",14036720.448482,2008
"578","california","Woody Wetlands",158917.19255,2008
"579","california","Herbaceous Wetlands",347884.707168,2008
"580","california","Pistachios",278040.759498,2008
"581","california","Triticale",8862.845688,2008
"582","california","Carrots",24486.024188,2008
"583","california","Asparagus",28.244038,2008
"584","california","Garlic",14969.117746,2008
"585","california","Cantaloupes",23938.49016,2008
"586","california","Prunes",0,2008
"587","california","Olives",56170.274974,2008
"588","california","Oranges",198576.269782,2008
"589","california","Honeydew Melons",10157.84595,2008
"590","california","Broccoli",3207.588662,2008
"591","california","Peppers",2489.923224,2008
"592","california","Pomegranates",29748.755804,2008
"593","california","Nectarines",7173.985652,2008
"594","california","Greens",5780.687242,2008
"595","california","Plums",130847.289052,2008
"596","california","Strawberries",18219.183662,2008
"597","california","Squash",920.266372,2008
"598","california","Apricots",98.298148,2008
"599","california","Vetch",4539.06154,2008
"600","california","Dbl Crop WinWht/Corn",248362.502592,2008
"601","california","Dbl Crop Oats/Corn",174245.476606,2008
"602","california","Lettuce",18264.552038,2008
"603","california","Pumpkins",1435.55327,2008
"604","california","Dbl Crop Lettuce/Durum Wht",0,2008
"605","california","Dbl Crop Lettuce/Cantaloupe",1470.469128,2008
"606","california","Dbl Crop Lettuce/Cotton",116.312062,2008
"607","california","Dbl Crop Lettuce/Barley",0,2008
"608","california","Dbl Crop Durum Wht/Sorghum",0,2008
"609","california","Dbl Crop Barley/Sorghum",0,2008
"610","california","Dbl Crop WinWht/Sorghum",28016.528938,2008
"611","california","Dbl Crop Barley/Corn",654.283148,2008
"612","california","Dbl Crop WinWht/Cotton",252.861978,2008
"613","california","Dbl Crop Soybeans/Cotton",0,2008
"614","california","Dbl Crop Soybeans/Oats",0,2008
"615","california","Dbl Crop Corn/Soybeans",0,2008
"616","california","Blueberries",207.048814,2008
"617","california","Cabbage",273.099832,2008
"618","california","Cauliflower",142.554554,2008
"619","california","Celery",2564.647608,2008
"620","california","Radishes",19.793066,2008
"621","california","Turnips",23.128976,2008
"622","california","Eggplants",0,2008
"623","california","Gourds",0,2008
"624","california","Cranberries",0,2008
"625","california","Dbl Crop Barley/Soybeans",0,2008
"626","colorado","Corn",1304235.617638,2008
"627","colorado","Cotton",0,2008
"628","colorado","Rice",0,2008
"629","colorado","Sorghum",223586.476628,2008
"630","colorado","Soybeans",4410.295414,2008
"631","colorado","Sunflower",157415.365868,2008
"632","colorado","Peanuts",0,2008
"633","colorado","Tobacco",0,2008
"634","colorado","Sweet Corn",2357.821188,2008
"635","colorado","Pop or Orn Corn",159.456498,2008
"636","colorado","Mint",0,2008
"637","colorado","Barley",79693.110748,2008
"638","colorado","Durum Wheat",3782.477152,2008
"639","colorado","Spring Wheat",31825.915764,2008
"640","colorado","Winter Wheat",2101287.48506,2008
"641","colorado","Other Small Grains",0,2008
