"","mso_calc_type","region","season.annual.avg_loss","season.annual.beekeepers","season.annual.colonies","season.annual.exclusive_beekeepers","season.annual.exclusive_colonies","season.annual.operation.backyard","season.annual.operation.commercial","season.annual.operation.sideline","season.annual.total_loss","season.summer.avg_loss","season.summer.beekeepers","season.summer.colonies","season.summer.exclusive_beekeepers","season.summer.exclusive_colonies","season.summer.operation.backyard","season.summer.operation.commercial","season.summer.operation.sideline","season.summer.total_loss","season.winter.avg_loss","season.winter.beekeepers","season.winter.colonies","season.winter.exclusive_beekeepers","season.winter.exclusive_colonies","season.winter.operation.backyard","season.winter.operation.commercial","season.winter.operation.sideline","season.winter.total_loss","state","year"
"18","MSO in","North East",    65.81,    19.00,   862.00,    89.47,    13.36,    18.00,     1.00,     0.00,    49.77,    18.64,    20.00,   852.00,    90.00,    14.08,    19.00,     1.00,     0.00,    21.36,    65.95,    26.00,   719.00,    92.31,    15.93,    25.00,     1.00,     0.00,    38.66,"Delaware","2017/18"
"19","MSO in","South East",    38.83,    52.00, 17663.00,    76.92,     4.89,    43.00,     5.00,     4.00,    40.05,    25.24,    61.00, 14373.00,    80.33,     5.40,    52.00,     5.00,     4.00,    33.12,    23.93,    57.00, 13794.00,    73.68,     2.94,    45.00,     5.00,     7.00,    18.38,"Florida","2017/18"
"20","MSO in","South East",    55.16,   132.00,  7547.00,    91.67,    19.50,   124.00,     2.00,     6.00,    42.43,    24.09,   142.00,  7871.00,    91.55,    14.41,   133.00,     3.00,     6.00,    20.24,    45.52,   150.00,  6525.00,    92.00,    22.75,   141.00,     2.00,     7.00,    30.88,"Georgia","2017/18"
"21","MSO in","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,     9.69,     6.00, 11784.00,    83.33,     0.54,     4.00,     1.00,     1.00,    11.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hawaii","2017/18"
"22","MSO in","North West",    41.36,    26.00, 12973.00,    84.62,     4.81,    22.00,     2.00,     2.00,    36.63,    10.93,    27.00, 12493.00,    81.48,     2.86,    22.00,     3.00,     2.00,    19.15,    42.89,    34.00, 11099.00,    88.24,     7.64,    30.00,     2.00,     2.00,    25.85,"Idaho","2017/18"
"23","MSO in","Ohio Valley",    60.07,   100.00,  1232.00,    98.00,    99.02,    97.00,     0.00,     3.00,    58.28,    19.00,   104.00,  1214.00,    98.08,    99.04,   101.00,     0.00,     3.00,    17.05,    52.47,   120.00,  1229.00,    98.33,    98.11,   116.00,     0.00,     4.00,    53.46,"Illinois","2017/18"
"24","MSO in","Ohio Valley",    52.33,   115.00,  7983.00,    95.65,    21.15,   110.00,     1.00,     4.00,    27.35,    12.37,   117.00,  6402.00,    95.73,    21.69,   111.00,     1.00,     5.00,    13.50,    46.77,   139.00,  7413.00,    96.40,    28.49,   134.00,     1.00,     4.00,    20.10,"Indiana","2017/18"
"25","MSO in","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","2008/09"
"26","MSO in","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    28.30,    52.00,287476.00,     0.00,     0.00,     1.00,    43.00,     8.00,    27.02,"MultiStateOperation","2008/09"
"27","MSO in","South",    34.79,    11.00,  6097.00,    81.82,     1.72,     9.00,     1.00,     1.00,    69.05,    18.11,    14.00, 17774.00,    78.57,     0.74,    11.00,     2.00,     1.00,    15.12,    25.75,    13.00,  4866.00,    84.62,     3.26,    11.00,     1.00,     1.00,    60.52,"Louisiana","2017/18"
"28","MSO in","Ohio Valley",    56.37,    48.00,  1584.00,    89.58,    39.12,    44.00,     1.00,     3.00,    53.66,    13.07,    48.00,  1564.00,    89.58,    39.12,    44.00,     1.00,     3.00,    16.69,    48.07,    60.00,  1580.00,    90.00,    39.09,    55.00,     1.00,     4.00,    41.84,"West Virginia","2017/18"
"29","MSO in","Upper Mid West",    78.50,   116.00, 15837.00,    95.69,     9.19,   108.00,     3.00,     5.00,    31.44,    18.39,   118.00, 11689.00,    95.76,     9.23,   110.00,     3.00,     5.00,    13.59,    73.26,   156.00, 18597.00,    95.51,     9.63,   147.00,     4.00,     5.00,    21.02,"Wisconsin","2017/18"
"30","MSO in","Northern Rockies and Plains",    43.28,     7.00,    66.00,    85.71,    91.30,     7.00,     0.00,     0.00,    40.91,    21.66,     7.00,    64.00,    85.71,    91.30,     7.00,     0.00,     0.00,    23.44,    39.46,     9.00,    69.00,    77.78,    84.75,     9.00,     0.00,     0.00,    33.33,"Wyoming","2017/18"
"31","MSO only","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alabama","2010/11"
"32","MSO only","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska","2010/11"
"33","MSO only","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona","2010/11"
"34","MSO only","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arkansas","2010/11"
"35","MSO in","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","2009/10"
"36","MSO in","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    40.27,   161.00,344782.00,     0.00,     0.00,    55.00,    71.00,    35.00,    33.49,"MultiStateOperation","2009/10"
"37","MSO only","West",    41.84,    29.00, 74971.00,     0.00,     0.00,     1.00,    22.00,     6.00,    35.94,    20.68,    30.00, 80971.00,     0.00,     0.00,     1.00,    23.00,     6.00,    18.67,    23.98,    56.00,217111.00,     0.00,     0.00,     6.00,    38.00,    12.00,    25.05,"California","2010/11"
"38","MSO only","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colorado","2010/11"
"39","MSO only","North East",    43.51,     6.00,   241.00,     0.00,     0.00,     4.00,     0.00,     2.00,    35.02,    11.06,     6.00,   241.00,     0.00,     0.00,     4.00,     0.00,     2.00,     9.90,    50.86,     5.00,   382.00,     0.00,     0.00,     3.00,     0.00,     2.00,    32.46,"Connecticut","2010/11"
"40","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Columbia","2010/11"
"41","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delaware","2010/11"
"42","MSO only","South East",    46.78,     5.00,  5176.00,     0.00,     0.00,     1.00,     3.00,     1.00,    59.64,    16.89,     5.00,  5176.00,     0.00,     0.00,     1.00,     3.00,     1.00,    21.77,    46.30,     9.00, 26010.00,     0.00,     0.00,     0.00,     6.00,     3.00,    40.29,"Florida","2010/11"
"43","MSO only","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    41.03,     9.00,  4677.00,     0.00,     0.00,     1.00,     1.00,     7.00,    70.19,"Georgia","2010/11"
"44","MSO only","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hawaii","2010/11"
"45","MSO only","North West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    13.44,     5.00,  9229.00,     0.00,     0.00,     2.00,     2.00,     1.00,     5.54,"Idaho","2010/11"
"46","MSO only","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illinois","2010/11"
"47","MSO only","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indiana","2010/11"
"48","MSO only","Upper Mid West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iowa","2010/11"
"49","MSO only","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kansas","2010/11"
"50","MSO only","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kentucky","2010/11"
"51","MSO only","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Louisiana","2010/11"
"52","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    40.96,     5.00, 13977.00,     0.00,     0.00,     2.00,     3.00,     0.00,    46.13,"Maine","2010/11"
"53","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maryland","2010/11"
"54","MSO only","North East",    53.94,     5.00,    49.00,     0.00,     0.00,     5.00,     0.00,     0.00,    58.73,    16.38,     5.00,    49.00,     0.00,     0.00,     5.00,     0.00,     0.00,    22.22,    39.83,    10.00, 11253.00,     0.00,     0.00,     8.00,     2.00,     0.00,    35.46,"Massachusetts","2010/11"
"55","MSO only","Upper Mid West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    23.47,     5.00, 16505.00,     0.00,     0.00,     1.00,     4.00,     0.00,    23.08,"Michigan","2010/11"
"56","MSO only","Upper Mid West",    46.64,     6.00, 23043.00,     0.00,     0.00,     1.00,     5.00,     0.00,    42.10,    32.30,     6.00, 23043.00,     0.00,     0.00,     1.00,     5.00,     0.00,    35.60,    27.52,     9.00, 91437.00,     0.00,     0.00,     2.00,     7.00,     0.00,    28.39,"Minnesota","2010/11"
"57","MSO only","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    16.69,     5.00, 95927.00,     0.00,     0.00,     0.00,     5.00,     0.00,    26.50,"Mississippi","2010/11"
"58","MSO only","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missouri","2010/11"
"59","MSO only","Northern Rockies and Plains",    21.69,     5.00, 14700.00,     0.00,     0.00,     0.00,     5.00,     0.00,    19.19,    10.37,     5.00, 14700.00,     0.00,     0.00,     0.00,     5.00,     0.00,     9.55,    21.12,     7.00, 41812.00,     0.00,     0.00,     0.00,     7.00,     0.00,    20.24,"Montana","2010/11"
"60","MSO in","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","2010/11"
"61","MSO in","N/A",    39.98,    76.00, 77904.00,     0.00,     0.00,    37.00,    24.00,    15.00,    36.17,    15.93,    77.00, 83904.00,     0.00,     0.00,    37.00,    25.00,    15.00,    18.53,    30.75,   127.00,222437.00,     0.00,     0.00,    58.00,    40.00,    29.00,    25.26,"MultiStateOperation","2010/11"
"62","MSO only","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nebraska","2010/11"
"63","MSO only","West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nevada","2010/11"
"64","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Hampshire","2010/11"
"65","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    25.33,    11.00,  1490.00,     0.00,     0.00,     5.00,     0.00,     6.00,    26.50,"New Jersey","2010/11"
"66","MSO only","North East",    35.58,    10.00,  2428.00,     0.00,     0.00,     4.00,     2.00,     4.00,    70.01,    14.88,    10.00,  2428.00,     0.00,     0.00,     4.00,     2.00,     4.00,    17.64,    44.46,    17.00,  5811.00,     0.00,     0.00,     8.00,     3.00,     6.00,    63.25,"New York","2010/11"
"67","MSO only","South East",    40.10,    13.00,   183.00,     0.00,     0.00,    11.00,     0.00,     2.00,    44.64,    17.07,    13.00,   183.00,     0.00,     0.00,    11.00,     0.00,     2.00,    19.42,    26.96,    22.00,  1814.00,     0.00,     0.00,    13.00,     0.00,     9.00,    27.26,"North Carolina","2010/11"
"68","MSO only","Northern Rockies and Plains",    42.72,     9.00, 39549.00,     0.00,     0.00,     0.00,     7.00,     2.00,    27.48,    23.80,    10.00, 45549.00,     0.00,     0.00,     0.00,     8.00,     2.00,    18.26,    20.48,    13.00,130647.00,     0.00,     0.00,     0.00,    12.00,     1.00,    24.44,"North Dakota","2010/11"
"69","MSO only","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ohio","2010/11"
"70","MSO only","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oklahoma","2010/11"
"71","MSO only","North West",    14.12,     6.00, 11654.00,     0.00,     0.00,     2.00,     2.00,     2.00,    19.36,     6.26,     6.00, 11654.00,     0.00,     0.00,     2.00,     2.00,     2.00,     9.01,    12.10,    14.00, 18461.00,     0.00,     0.00,     3.00,     4.00,     7.00,     8.47,"Oregon","2010/11"
"72","MSO only","North East",    53.70,     6.00,  1274.00,     0.00,     0.00,     3.00,     1.00,     2.00,    84.11,     9.60,     6.00,  1274.00,     0.00,     0.00,     3.00,     1.00,     2.00,    20.56,    45.27,     7.00,  3380.00,     0.00,     0.00,     4.00,     1.00,     2.00,    82.30,"Pennsylvania","2010/11"
"73","MSO only","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Puerto Rico","2010/11"
"74","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhode Island","2010/11"
"75","MSO only","South East",    37.05,     5.00,   644.00,     0.00,     0.00,     4.00,     0.00,     1.00,    19.35,    17.24,     5.00,   644.00,     0.00,     0.00,     4.00,     0.00,     1.00,    11.89,    43.54,     9.00,  2169.00,     0.00,     0.00,     3.00,     1.00,     5.00,    43.30,"South Carolina","2010/11"
"76","MSO only","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Dakota","2010/11"
"77","MSO only","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    27.61,     5.00,   115.00,     0.00,     0.00,     4.00,     0.00,     1.00,    41.67,"Tennessee","2010/11"
"78","MSO only","South",    35.15,     8.00, 29447.00,     0.00,     0.00,     2.00,     6.00,     0.00,    29.95,    24.03,     9.00, 35447.00,     0.00,     0.00,     2.00,     7.00,     0.00,    20.77,    21.74,    12.00,111299.00,     0.00,     0.00,     1.00,    11.00,     0.00,    25.74,"Texas","2010/11"
"79","MSO only","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Utah","2010/11"
"80","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    62.12,     5.00,    89.00,     0.00,     0.00,     5.00,     0.00,     0.00,    58.16,"Vermont","2010/11"
"81","MSO only","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    30.83,    17.00,  1716.00,     0.00,     0.00,     8.00,     0.00,     9.00,    26.53,"Virginia","2010/11"
"82","MSO only","North West",    21.33,     7.00, 14324.00,     0.00,     0.00,     2.00,     5.00,     0.00,    20.11,    10.70,     7.00, 14324.00,     0.00,     0.00,     2.00,     5.00,     0.00,     9.30,    16.08,     8.00, 22576.00,     0.00,     0.00,     1.00,     6.00,     1.00,    22.46,"Washington","2010/11"
"83","MSO only","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    71.92,     5.00,    81.00,     0.00,     0.00,     5.00,     0.00,     0.00,    60.78,"West Virginia","2010/11"
"84","MSO only","Upper Mid West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    43.60,     5.00,    90.00,     0.00,     0.00,     5.00,     0.00,     0.00,    48.89,"Wisconsin","2010/11"
"85","MSO only","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wyoming","2010/11"
"86","MSO only","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alabama","2011/12"
"87","MSO only","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska","2011/12"
"88","MSO only","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona","2011/12"
"89","MSO only","South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arkansas","2011/12"
"90","MSO only","West",    30.53,    34.00, 85271.00,     0.00,     0.00,     2.00,    22.00,    10.00,    32.24,    15.05,    34.00, 85271.00,     0.00,     0.00,     2.00,    22.00,    10.00,    19.64,    21.20,    44.00,195859.00,     0.00,     0.00,     3.00,    28.00,    13.00,    24.31,"California","2011/12"
"91","MSO only","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colorado","2011/12"
"92","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    19.04,     5.00,   184.00,     0.00,     0.00,     4.00,     0.00,     1.00,    10.58,"Connecticut","2011/12"
"93","MSO only","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Columbia","2011/12"
"94","MSO in","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    43.68,     5.00,   352.00,    80.00,     3.41,     4.00,     0.00,     1.00,    55.97,"","2018/19"
"95","MSO in","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","2018/19"
"96","MSO in","",    39.49,   107.00,290282.00,     0.00,     0.00,    42.00,    44.00,    21.00,    39.58,    19.27,   117.00,262691.00,     0.00,     0.00,    45.00,    49.00,    23.00,    21.38,    31.97,   120.00,264848.00,     0.00,     0.00,    50.00,    47.00,    23.00,    30.45,"MultiStateOperation","2018/19"
"97","MSO in","South West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colorado","2007/08"
"98","MSO in","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Connecticut","2007/08"
"99","MSO in","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Columbia","2007/08"
"100","MSO in","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delaware","2007/08"
"101","MSO in","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    30.03,    23.00, 50897.00,    65.22,    33.58,     4.00,    13.00,     6.00,    40.03,"Florida","2007/08"
"102","MSO in","South East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    29.09,    15.00, 42876.00,   100.00,   100.00,     0.00,    12.00,     3.00,    34.48,"Georgia","2007/08"
"103","MSO in","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hawaii","2007/08"
